residence	current_location	blood_group	job	mail	user_id	birthdate	company	name	username	ssn	registration	station_ID
	(Decimal('-27.550361'), Decimal('126.916075'))	B+	Programador	goncalvesmarina@ig.com.br	160	1930-07-16	Ramos Carvalho e Filhos	Vinicius da Paz	ayllacorreia	72805691458	03 Apr 2019	635
	(Decimal('49.5276965'), Decimal('-119.114552'))	AB+		jun91@gmail.com	2014		中村保険合同会社	木村 充	kondomai	768-08-3034	2022/08/09	139
	(Decimal('-74.4045805'), Decimal('58.110355'))	O+	Charity fundraiser	douglas73@gmail.com	559		Ross-Schmitt	Crystal Jones	jennifer47	223-79-2618	12/01/2020, 00:00:00	719
		B-		katykreusel@gmail.com	1270	2015-05-22	Ernst	Amanda Trüb	rgertz	140-74-5947	2020-11-30	576
	(Decimal('15.140423'), Decimal('-13.030487'))	AB-	Lighting technician, broadcasting/film/video	nancy65@yahoo.com	952		Combs and Sons	Scott Payne	bakermatthew	685-34-6076	10/04/2022, 00:00:00	706
	(Decimal('65.7319095'), Decimal('-166.290582'))	AB+		ysauli@tin.it	757	1928-01-08	Costalonga SPA	Adriano Traversa-Gargallo	alessia38	CNICML87D44B741G	01 Jun 2021	693
	(Decimal('15.4692305'), Decimal('-164.739047'))	A+	Clinical embryologist	harveybreanna@gmail.com	71	2025-04-28	Jordan-Marquez	Jeremy Franklin	karen74	384-96-3749	2020-03-07	542
	(Decimal('-24.9392325'), Decimal('-35.294281'))	AB-		zaparecida@bol.com.br	1413	1974-03-10	Sales	José Leão	costelatheo	73891650221	2020-10-25	688
	(Decimal('3.1410315'), Decimal('-27.298084'))	AB+		yosukegoto@gmail.com	1885		有限会社山田農林	中村 結衣	manabu73	391-39-2681	04/15/2023, 00:00:00	14
	(Decimal('-10.2786785'), Decimal('-20.133111'))	O-	Sports coach	rossanasabbatini@tele2.it	1750		Travaglio, Veltroni e Cipolla e figli	Marisa Cilea	lilla23	MSTMLA69D21H951C	2020/06/23	283
	(Decimal('50.545460'), Decimal('-140.800566'))	AB-	気象予報士	akemi09@gmail.com	1201		合同会社山田ガス	山田 涼平	yoko33	252-06-7938	01/19/2019, 00:00:00	739
	(Decimal('-78.946303'), Decimal('-167.589231'))	O-		igotthard@hotmail.de	610	1935-01-14	Döring Wulf KG	Lilija Junken	wschmidt	115-34-7390	2021/06/24	423
	(Decimal('6.365006'), Decimal('129.347864'))	AB+		gaetano17@hotmail.it	2082	1994-06-04	Ossani, Coardi e Tutino SPA	Ornella Carosone	rosa57	TRPRCC21R43I274I	04 Aug 2020	586
	(Decimal('-29.631481'), Decimal('-125.317534'))	A-		kana47@yahoo.com	881	1943-07-06	合同会社渡辺ガス	中川 涼平	esuzuki	531-96-1193	14 Jul 2022	695
	(Decimal('-62.004990'), Decimal('-93.763037'))	A-	Publishing copy	mnavarro@gmail.com	1340	2008-04-14	Cortez PLC	Mary Thompson	suzanne62	204-65-6051	2021/01/17	15
	(Decimal('-84.5505175'), Decimal('128.372764'))	B+	農家	akira53@hotmail.com	807		合同会社佐藤鉱業	近藤 加奈	yoshidananami	334-97-0506	28 Nov 2023	478
	(Decimal('53.1823545'), Decimal('33.332455'))	B-		dtakahashi@gmail.com	2013	1959-01-23	合同会社田中食品	鈴木 治	satomisato	220-65-0186	2022-06-23	490
	(Decimal('-78.765181'), Decimal('22.175059'))	O+		impastatobeatrice@yahoo.com	1809		Anguissola, Mazzi e Guicciardini SPA	Lucia Romiti	ermanno72	TSLLPD05R43A831W	05/23/2023, 00:00:00	640
	(Decimal('-44.604087'), Decimal('-18.100211'))	O+	Plastimodelista	opastor@uol.com.br	1763		Pacheco S.A.	Dr. Noah Vargas	spires	53069247865	11/14/2023, 00:00:00	407
		A-	モデル	mnakamura@yahoo.com	642		山口食品株式会社	佐藤 陽一	minorusuzuki	844-04-1545	2023/06/07	220
	(Decimal('0.063484'), Decimal('-131.927779'))	O+	Datilógrafo	xfreitas@ig.com.br	1692		Rezende S/A	Léo Campos	xpinto	94835170601	05 Oct 2020	659
	(Decimal('-30.964768'), Decimal('-108.528736'))	O-	アートディレクター	katoryosuke@yahoo.com	1158		藤井鉱業株式会社	橋本 智也	aokiatsushi	091-49-2296	25 Nov 2024	146
	(Decimal('1.348010'), Decimal('24.666463'))	B+		hesergesche@aol.de	925	2013-01-02	Werner KG	Abdul Albers	sieringvanessa	959-81-4032	12/02/2024, 00:00:00	425
	(Decimal('-10.3686265'), Decimal('-137.288426'))	O+	Classificador contábil	matheusda-conceicao@bol.com.br	1177	1987-04-21	da Cunha	Luigi da Paz	diasjoao-pedro	82950147658	2023-05-16	263
	(Decimal('-77.213305'), Decimal('-125.765049'))	B-		friedrich-karl25@gmx.de	968		Drewes Fechner GbR	Geraldine Hande	gerolfeberhardt	276-98-9265	09 Jun 2023	403
	(Decimal('-22.5251185'), Decimal('-45.717525'))	A-		samantha51@gmail.com	1427	2014-10-04	Moss, King and Odonnell	Paul Foster	connielopez	256-14-1062	2025-02-26	360
		AB-		amoreira@gmail.com	461		Pires	Nathan Rodrigues	almeidaluna	97251083450	11/05/2023, 00:00:00	0
	(Decimal('-41.945117'), Decimal('51.668933'))	O+		peixotodaniela@uol.com.br	1734	1994-11-16	Viana Vargas S/A	Cauã Aparecida	maria-florfreitas	71954038232	2024/09/15	310
	(Decimal('-17.4696495'), Decimal('-118.253116'))	B-		souzafernanda@bol.com.br	1479	2016-02-18	Duarte S/A	Liz da Costa	guerracaio	31524798088	2021-02-25	80
		A-		imachado@gmail.com	659		Lima	Francisco Alves	mpacheco	20186753977	2018-12-14	729
	(Decimal('-14.6554205'), Decimal('-148.916073'))	B-		maria-julia77@bol.com.br	1919	1958-06-30	Rezende	Raquel da Mota	vinicius93	63807149520	11/12/2019, 00:00:00	369
	(Decimal('48.146829'), Decimal('103.930574'))	B+		akemikato@yahoo.com	1254		株式会社中島運輸	藤井 太郎	tomoyafukuda	022-89-7789	2024-09-24	524
	(Decimal('-21.117732'), Decimal('98.800498'))	O+		nicolettamodugno@outlook.com	1151		Sommaruga Group	Dott. Matilda Moccia	doloressauli	CSTRMO68C50D234K	05/14/2025, 00:00:00	58
	(Decimal('-84.6365765'), Decimal('-140.607681'))	AB-		ihein@aol.de	1923	1953-09-20	Margraf GmbH	Univ.Prof. Ricarda Kühnert B.Sc.	gerard25	674-37-4454	29 Nov 2024	51
	(Decimal('25.0942685'), Decimal('115.804943'))	O-		melissadelacruz@gmail.com	262		Martin-Ramos	Caleb Thomas	ogomez	638-34-9153	08 Jan 2022	699
	(Decimal('52.682622'), Decimal('173.075866'))	A-		scottashley@yahoo.com	1511	1954-12-01	Henry-Mccall	Sandra Peterson	yallen	705-98-6915	11/08/2023, 00:00:00	508
	(Decimal('-14.4690465'), Decimal('76.719526'))	O-	Ambulante	alexandresa@uol.com.br	927	2024-01-30	Melo Ltda.	Lara Pastor	piresvinicius	04827516308	2020-05-27	198
	(Decimal('77.227943'), Decimal('-37.390376'))	O+		rkondo@yahoo.com	746	2014-10-21	高橋保険合同会社	佐藤 亮介	hmurakami	364-56-8536	30 Apr 2022	263
	(Decimal('-1.5315225'), Decimal('-101.351387'))	A-		olivia71@gmail.com	214	1931-04-29	Câmara - EI	João Vitor Rocha	hlopes	93561072895	2023/08/02	117
	(Decimal('84.2027535'), Decimal('175.823564'))	AB-		maria-fernandanunes@uol.com.br	1484		Santos	Gael Henrique Cassiano	costelamaria-luiza	02456371925	2023-03-26	218
	(Decimal('-51.1126685'), Decimal('-58.320072'))	AB-	Lutador de kung fu	viniciussousa@uol.com.br	97		Mendes - EI	Davi Luiz Correia	henriqueazevedo	42075169802	2024/03/17	181
	(Decimal('42.4524445'), Decimal('-9.406614'))	O+		fkoester@gmx.de	2009	1946-02-08	Jüttner Stiftung & Co. KGaA	Anka Mülichen B.Eng.	ana86	585-96-2700	2025/04/11	504
	(Decimal('63.3618495'), Decimal('-91.863246'))	A-	Tintureiro	valentina11@bol.com.br	1726		Alves	Sr. Théo Araújo	cardosodavi-miguel	45630981242	2021-04-15	384
	(Decimal('73.855185'), Decimal('-16.141102'))	A+		btlustek@web.de	388	1958-07-10	Schäfer Mälzer GmbH	Lilija Kabus	huebelzenon	498-37-8155	06/07/2025, 00:00:00	72
	(Decimal('-75.5240765'), Decimal('-35.303091'))	A-		das-nevesana-julia@uol.com.br	1558	1947-11-14	da Paz S/A	Isabella Cassiano	rlima	12604958767	07/29/2020, 00:00:00	770
	(Decimal('-11.741443'), Decimal('-157.685873'))	A-		paolinirosina@tim.it	1052		Orengo-Marconi SPA	Stella Chindamo	dsemitecolo	PCCSTN51D04I201U	2024/05/23	284
	(Decimal('20.949596'), Decimal('-51.077038'))	AB+		yuisato@yahoo.com	1859	1946-06-25	佐々木電気合同会社	山崎 里佳	akemi35	066-67-7680	2018/10/21	60
	(Decimal('-30.966051'), Decimal('-118.317391'))	A+	Pilot	lsiering@googlemail.com	1828		Pergande	Univ.Prof. Dirk Hiller B.Sc.	rgude	635-13-9430	2025-04-18	53
	(Decimal('55.268481'), Decimal('-159.868378'))	B+		ihayes@yahoo.com	1172		Bennett, Carroll and Scott	Terri Sanchez	millerangelica	831-69-1304	2020-03-11	323
	(Decimal('46.937943'), Decimal('-0.272878'))	AB-	Administrator	daniel98@yahoo.com	236	1928-04-12	Rogers, York and Rivera	Jessica Chavez	fowlerchristopher	528-32-8910	2022-09-21	253
	(Decimal('44.111938'), Decimal('-22.768231'))	AB-		raffaella98@alice.it	1437	1994-06-19	Interiano, Ricciardi e Greco Group	Gemma Grifeo	vincenzazaccardo	MNTNZE07R56E528D	2023/05/31	571
	(Decimal('45.7603285'), Decimal('132.482853'))	B+	作曲家	satomomoko@hotmail.com	1364		株式会社藤原印刷	長谷川 明美	mikiishii	002-65-3868	2020-03-14	428
	(Decimal('84.900929'), Decimal('167.517092'))	O+	Adestrador de animais	das-nevesbeatriz@uol.com.br	249	1925-04-28	Mendonça S/A	Nicole Caldeira	camarazoe	65120734952	04/27/2020, 00:00:00	707
	(Decimal('-89.7617755'), Decimal('-116.971279'))	A-		katoyumiko@hotmail.com	1079	1997-02-06	石井食品合同会社	山田 明美	gsuzuki	604-31-8049	2021-09-10	397
	(Decimal('-20.0279565'), Decimal('-174.176933'))	A-		rkitzmann@gmail.com	1143		Ortmann GmbH	Dipl.-Ing. Andrea Schwital B.Sc.	alexejkraus	808-21-2654	22 Jun 2020	379
	(Decimal('38.7245715'), Decimal('-20.625429'))	B-		satotaichi@gmail.com	708	1914-02-02	斉藤電気株式会社	加藤 知実	yuisato	682-99-3294	2022/11/05	3
	(Decimal('-26.2321705'), Decimal('-87.977576'))	AB-		yamadayoko@gmail.com	1591		合同会社木村鉱業	佐藤 里佳	ryohei06	447-08-3791	30 May 2023	282
	(Decimal('24.3444395'), Decimal('140.344789'))	O+	Immunologist	arnulfo49@live.com	851	1956-01-16	Filippini-Monteverdi s.r.l.	Mirco Giulietti	simeonipietro	GLTPLN19B06I275Z	12/04/2022, 00:00:00	218
	(Decimal('40.669969'), Decimal('97.316113'))	AB-		samuel31@hotmail.com	1618		Barbosa	Davi Siqueira	mcampos	49305761801	08/10/2021, 00:00:00	405
	(Decimal('-60.7312655'), Decimal('-81.432253'))	O-		destiny13@gmail.com	1142	1920-11-13	Johnson-Montgomery	Yvonne Kerr	dillon50	046-21-6297	21 Oct 2019	330
	(Decimal('-74.5392225'), Decimal('-39.432576'))	A+		portoesther@uol.com.br	131		Moreira Ltda.	Zoe Rios	maria13	43068925738	2025/06/20	452
	(Decimal('-15.927547'), Decimal('116.497895'))	AB+		vitoria93@hotmail.com	1426		Pastor - EI	Sr. Rael Moreira	caldeirajoao-guilherme	81536420905	2021-07-01	73
	(Decimal('83.337778'), Decimal('14.547821'))	A+	電気工事士	reiyamamoto@gmail.com	1389		有限会社山田鉱業	藤井 舞	bmatsumoto	088-74-7208	2019/07/30	329
	(Decimal('-38.7444955'), Decimal('23.408086'))	AB-		jacobi-jaeckelverena@web.de	927		auch Schlauchin	Dr. Josip Rosemann	tamara41	993-76-5146	03 Aug 2025	476
	(Decimal('71.1592845'), Decimal('125.311387'))	B-	Personal assistant	antonio70@hotmail.com	487		Zichichi, Giannetti e Modugno e figli	Dott. Ansaldo Vecellio	fedelemorpurgo	BRCGNC63P56B543M	2023/06/13	420
	(Decimal('77.001370'), Decimal('42.694849'))	O+		goricoriolano@gmail.com	1295		Alonzi-Tirabassi SPA	Angelina Ramazzotti	nico50	CRPPNI81L04G768T	2023-11-22	622
	(Decimal('21.958775'), Decimal('-8.401379'))	O+		daniele81@alice.it	265	1972-02-18	Sonnino, Carpaccio e Pirandello e figli	Sig.ra Fabrizia Luciani	zagurifausto	BLLLCU35M31E482G	2024-05-13	364
	(Decimal('35.877496'), Decimal('63.215390'))	A-	Mathematiker	biggenronny@aol.de	576		Stumpf AG & Co. OHG	Iwona Mielcarek	ahmadreinhardt	509-26-2322	12/23/2022, 00:00:00	100
	(Decimal('-36.733563'), Decimal('-117.000027'))	B-		james72@yahoo.com	1330	1999-12-07	Smith Ltd	Richard Miller	lynn84	753-91-5029	13 Apr 2020	265
	(Decimal('-78.718072'), Decimal('118.087029'))	AB-		emanuelly28@gmail.com	199	1938-10-22	Peixoto e Filhos	Enzo da Rocha	slopes	97062184322	04/23/2019, 00:00:00	23
	(Decimal('62.4804105'), Decimal('126.652664'))	B+		dsorgatz@web.de	575	2000-08-04	Schönland Bähr Stiftung & Co. KGaA	Teresa Krein	rolf56	386-62-3531	01 Dec 2019	142
	(Decimal('10.032002'), Decimal('-114.900788'))	A-		cpoelitz@gmx.de	1781	2001-12-26	Krause OHG mbH	Friedlinde Seip	luebsraphaela	821-32-4232	15 Nov 2022	608
	(Decimal('-6.1069075'), Decimal('83.303593'))	A-		nnicolini@outlook.com	219	2003-02-14	Vidoni e figli	Annibale Nitto-Virgilio	santino48	ZPPNCL68S53G030Y	08 Nov 2023	120
	(Decimal('-12.4052585'), Decimal('96.224080'))	AB-	救急救命士	yoko92@hotmail.com	1974		有限会社山本銀行	鈴木 裕美子	rika75	340-80-1325	24 Oct 2023	306
	(Decimal('85.958792'), Decimal('177.387702'))	B+		davidmoore@yahoo.com	1266	1952-05-27	Alvarez-Edwards	Drew Burnett	brownthomas	425-54-0982	2024-06-19	549
	(Decimal('44.8966875'), Decimal('-15.639606'))	A-		gabrielly25@uol.com.br	65		Cavalcante Ltda.	Emilly Albuquerque	fernanda61	01748596276	2021/05/15	226
	(Decimal('64.6606465'), Decimal('70.904414'))	AB+		ymatthaei@web.de	1108	1943-02-12	Pieper GmbH	Dr. Metin Döring B.Sc.	christlschwital	416-10-8937	11/27/2023, 00:00:00	485
	(Decimal('-62.681325'), Decimal('-149.907480'))	A-	Coronel	leonardomarques@bol.com.br	1498		Nascimento Caldeira - EI	Bryan Casa Grande	gcorreia	67250834126	06 Nov 2018	54
	(Decimal('81.3816555'), Decimal('14.062103'))	B+	脚本家	yuta14@yahoo.com	1975		近藤情報有限会社	藤原 治	hayashisotaro	105-75-8131	03 Mar 2019	528
	(Decimal('-88.3597425'), Decimal('-174.940503'))	O+		foersterhilda@aol.de	139	2018-09-23	Reising GmbH	Stella Drewes B.A.	kradisch	977-23-7870	01 Apr 2024	39
	(Decimal('-67.210744'), Decimal('6.939005'))	A+	ウェブデザイナー	momoko59@gmail.com	249	1963-09-06	有限会社山崎鉱業	中村 聡太郎	maiyamamoto	563-13-0178	2021/01/31	394
	(Decimal('38.042081'), Decimal('53.511038'))	A-	Camera operator	simpsonkatrina@hotmail.com	904	1991-04-12	Aguirre, Chavez and Green	Melissa Lewis	shawnbutler	789-85-8245	27 Apr 2024	453
	(Decimal('89.7828125'), Decimal('135.532196'))	A+		sergius05@fastwebnet.it	1024		Aporti s.r.l.	Lina Morosini	wpirelli	NTRRNT86E27H855S	10/15/2023, 00:00:00	521
	(Decimal('-57.3773395'), Decimal('132.514861'))	O-		danarodriguez@yahoo.com	1738		Montoya Inc	Robert Jimenez	jesse32	205-63-5536	2025-06-22	175
	(Decimal('-59.842694'), Decimal('-3.079647'))	B-	General	umarques@yahoo.com.br	1028	1967-03-07	Costa Gomes e Filhos	Bárbara Carvalho	viniciuscarvalho	75208643162	25 Jun 2023	463
	(Decimal('57.4610335'), Decimal('80.921482'))	O+		jbataglia@outlook.com	538	1934-04-14	Praga, Giacconi e Accardo SPA	Annibale Gaggini	ottavio15	GLNJLD68L11A566U	28 Jan 2024	267
	(Decimal('78.789721'), Decimal('-94.324632'))	B+		hashimotorei@hotmail.com	1353	1974-11-06	株式会社佐藤建設	山口 充	mshimizu	257-32-5979	2019/10/17	390
	(Decimal('25.574984'), Decimal('-39.729134'))	B-	Equities trader	victoria44@hotmail.com	884	1965-11-23	Olsen-Mullen	Chelsea Owens	thughes	537-71-7767	09 Oct 2022	657
	(Decimal('82.6038395'), Decimal('-35.835277'))	A-	営業	murakamiryosuke@yahoo.com	1385		中川食品株式会社	鈴木 明美	rnakagawa	205-58-4682	28 Aug 2021	14
	(Decimal('8.342355'), Decimal('-135.516552'))	AB-		shoheiyamaguchi@gmail.com	1488		佐藤運輸有限会社	山崎 七夏	rsuzuki	632-13-3559	2021/08/26	629
	(Decimal('18.1922355'), Decimal('-81.317871'))	A-		katokaori@gmail.com	554		佐々木通信株式会社	小川 充	chiyo94	036-23-0064	2023-03-21	199
	(Decimal('76.390740'), Decimal('-68.481399'))	B+		sasakiyasuhiro@hotmail.com	1084	2012-11-21	合同会社中村電気	前田 英樹	hmori	653-92-2139	21 Apr 2025	626
	(Decimal('-55.8600375'), Decimal('16.598735'))	A-		whernandez@yahoo.com	718	1926-08-17	Smith, Doyle and Cook	Ernest Mayer	lauragray	618-01-3339	2021-08-19	264
		O+	Archaeologist	antonella38@yahoo.com	1792	1917-03-06	Polizzi-Garobbio Group	Puccio Brambilla	gianpietro40	CMSVNN93R54I356I	2019-03-27	167
	(Decimal('75.6478755'), Decimal('-162.000087'))	A+	高等学校教員	rsakamoto@gmail.com	328	1955-10-02	合同会社小林水産	佐藤 知実	yuta67	141-82-5946	2023/07/26	450
	(Decimal('36.098126'), Decimal('-137.183399'))	O+		yoshidaryosuke@yahoo.com	1992	2005-04-05	株式会社渡辺運輸	井上 くみ子	uyamada	478-16-9353	11/13/2023, 00:00:00	641
	(Decimal('-61.287360'), Decimal('61.424602'))	AB+		mariaerickson@gmail.com	142		Banks and Sons	Brad Chavez	troyhunt	189-79-4914	04 Jan 2025	78
	(Decimal('53.4088275'), Decimal('143.431494'))	A+	寿司職人	wtakahashi@gmail.com	1530		有限会社坂本印刷	山崎 知実	esaito	607-82-3740	18 Dec 2018	96
	(Decimal('-10.0891145'), Decimal('63.422296'))	A+		idaaltera@tin.it	475		Veneziano Group	Amleto Scamarcio	dpisaroni	GRNRKE13P27D057W	2022-02-04	732
	(Decimal('62.551799'), Decimal('-28.199610'))	O-		truppcecilia@hotmail.de	1676	1924-06-03	Löchel Ladeck GmbH & Co. KGaA	Prof. Wencke Krein	pdrewes	556-35-8952	2024/04/07	475
	(Decimal('7.5626605'), Decimal('-179.693783'))	B+		aross@gmail.com	937		Perry PLC	Stephen Cooper	caldwelleric	189-06-4857	08 Aug 2023	94
	(Decimal('44.452241'), Decimal('139.202954'))	B-		mirjanaaumann@googlemail.com	121	1979-08-17	Salz Meister GbR	Cornelia Speer	gnatzerica	762-99-3825	09/07/2025, 00:00:00	374
	(Decimal('-60.666226'), Decimal('-61.076519'))	AB+		bda-rosa@uol.com.br	268		Sousa Ltda.	Dra. Maria Luísa da Paz	rda-costa	93580142615	02 Dec 2023	122
	(Decimal('48.7657395'), Decimal('66.534874'))	B+		eloa20@hotmail.com	1868	1951-02-14	Castro	Sophie Rios	miguelpacheco	21975608402	2024/10/28	158
		O-	Psychologist, clinical	cherubinimelina@vodafone.it	930		Manzoni SPA	Amanda Venier	ycesarotti	TLRCRL11M52A891H	2024-03-23	9
	(Decimal('-2.732907'), Decimal('-162.408711'))	O+	Tecnólogo em produção Sucroalcooleira	ayllaleao@yahoo.com.br	1274	1933-10-16	Rocha	Sr. Matheus Sá	allana54	43986071539	09/13/2025, 00:00:00	402
	(Decimal('-40.9600485'), Decimal('-151.949809'))	B+		sedwards@hotmail.com	910	2017-02-06	Meza, Black and Jordan	Aaron Dominguez	herreraamanda	389-48-6218	2024/11/26	524
	(Decimal('30.8517855'), Decimal('-170.091764'))	B+	Winzer	ischenk@hotmail.de	1927		Hethur AG	Türkan Stadelmann	kreszenz75	100-34-9359	22 Jan 2025	13
	(Decimal('-89.509313'), Decimal('95.596023'))	B-		dtaesche@gmx.de	1116	1978-03-07	Henschel	Attila Heuser	bauererika	865-97-4826	2021/07/10	249
	(Decimal('32.607475'), Decimal('30.038217'))	O-		kumikoyamamoto@yahoo.com	162	1970-09-26	有限会社山本食品	清水 さゆり	hashimotochiyo	002-46-2387	04/24/2022, 00:00:00	91
	(Decimal('-52.0224405'), Decimal('-170.879759'))	AB-	Artist	ivan58@yahoo.de	1994		Schinke KG	Ursula Harloff	hartmannkaethi	459-74-8422	08/22/2024, 00:00:00	320
	(Decimal('35.456791'), Decimal('115.037022'))	AB-		vincent35@hotmail.com	1074	1913-05-03	Martinez-Garcia	Travis Munoz	jdavis	112-79-3800	20 Jan 2025	734
	(Decimal('75.4985545'), Decimal('-9.026630'))	O-		thiago81@hotmail.com	132		Moraes Moraes Ltda.	Stephany Jesus	luanduarte	25914603889	03/06/2021, 00:00:00	720
	(Decimal('78.348600'), Decimal('-157.411778'))	AB+	Krankenschwester	ybenthin@gmx.de	1502		Thies Hornich KG	Anka Stiffel	pergandeetta	796-19-8227	2019-04-18	501
	(Decimal('-12.3570155'), Decimal('-14.145282'))	B-		cowannathan@yahoo.com	1821	1997-03-12	Brown-Beard	Haley Martin	olivia10	133-85-6173	01/02/2025, 00:00:00	598
		B-	Profissional de tecnologia de laticínios	vinicius52@bol.com.br	919	1947-08-30	da Rocha	Gael Silva	gcosta	52617940306	2022-08-22	468
	(Decimal('-73.1758815'), Decimal('33.140468'))	O-		hellena58@yahoo.com.br	1155		Siqueira	Bianca da Costa	nathan37	92615037480	05/16/2020, 00:00:00	514
	(Decimal('27.5430255'), Decimal('91.251645'))	A-		beieredeltraut@yahoo.de	1100		Kreusel	Dipl.-Ing. Hans-Erich Kruschwitz	royconradi	268-02-9581	02/26/2020, 00:00:00	507
	(Decimal('-71.633589'), Decimal('-155.687120'))	B+		emanueljesus@ig.com.br	1644	1939-10-24	Rios Andrade S.A.	Sr. Levi Almeida	theoda-paz	13509827686	12/12/2019, 00:00:00	91
	(Decimal('59.090846'), Decimal('111.500959'))	A-		satoatsushi@gmail.com	1985		田中ガス株式会社	田中 涼平	dyamaguchi	229-89-9873	2019-12-04	256
	(Decimal('-49.2919135'), Decimal('12.075499'))	AB-		luiz-gustavocarvalho@gmail.com	1329	1928-12-18	Rezende	Diogo Garcia	lucasnascimento	94872350197	01 Feb 2021	534
	(Decimal('78.714568'), Decimal('138.975134'))	A+	アイドル	shota06@gmail.com	752	1992-07-21	林運輸有限会社	山本 裕太	nanami84	236-90-7789	2021-06-04	669
	(Decimal('49.072295'), Decimal('-161.512550'))	B+		hfujii@gmail.com	432	1969-10-09	株式会社後藤建設	山本 裕太	takuma79	771-69-6361	2023-06-20	241
	(Decimal('45.067537'), Decimal('-133.318237'))	AB-		civaschirocco@alice.it	1756	2021-06-07	Caironi-Satta s.r.l.	Maria Finetti	agostinellivincenzo	VRDMCL75R56L702P	2024-03-23	234
	(Decimal('85.1141765'), Decimal('-169.481930'))	B+	Pilot	wilmsrita@aol.de	443		Bachmann	Frieder Preiß	dinakrause	868-78-0827	2023-05-19	206
	(Decimal('-10.2037775'), Decimal('-53.897176'))	B+	作曲家	ksato@yahoo.com	1634		佐藤電気合同会社	佐藤 結衣	tanakahanako	081-78-4809	02 May 2022	548
	(Decimal('75.748358'), Decimal('-150.819267'))	O-		danilo67@poste.it	1802	2006-03-24	Vecoli Group	Oreste Cheda	giacinto25	RNDFDC97E25D149S	2021-01-30	295
	(Decimal('-63.916198'), Decimal('114.644149'))	A+	Medical sales representative	federica51@tin.it	496		Zichichi e figli	Eliana Busoni	antonia72	FGZMLN36B13D120U	10/31/2024, 00:00:00	51
	(Decimal('-61.9883245'), Decimal('-170.048581'))	O+	Informatiker	heinz-joachim05@gmx.de	987		Schomber AG	Jonathan Kroker	schmiedttraudel	615-29-5074	05 Oct 2021	316
	(Decimal('-7.494353'), Decimal('155.637508'))	B-		yoichi83@gmail.com	1176		有限会社山口ガス	佐藤 明美	chiyoyamamoto	817-99-1074	2019/06/12	419
	(Decimal('75.565203'), Decimal('-156.996865'))	AB+		ryosuke82@gmail.com	202	1916-05-18	合同会社吉田情報	山下 明美	yamamotoyui	176-34-0235	22 May 2022	319
	(Decimal('-62.473447'), Decimal('83.174304'))	B+		yamamototaro@gmail.com	175		山下水産合同会社	高橋 陽一	takumasaito	016-71-4541	2018-09-25	168
	(Decimal('3.257656'), Decimal('-103.184870'))	AB+	ウェブデザイナー	sotaro73@hotmail.com	1558	1995-02-13	合同会社吉田情報	山口 智也	yamaguchisotaro	601-50-7468	06/29/2024, 00:00:00	658
	(Decimal('34.6595405'), Decimal('-85.191821'))	B-	Development worker, international aid	robin58@hotmail.com	1175	1949-11-30	Thompson, Stephenson and Moss	Kimberly Anderson	tinawoods	631-78-2013	11/13/2024, 00:00:00	572
	(Decimal('-62.414375'), Decimal('-139.330653'))	AB-	Prensista	benicio72@gmail.com	925	1961-10-02	Andrade Montenegro Ltda.	Guilherme Pastor	xda-luz	07953286483	05/22/2024, 00:00:00	195
	(Decimal('74.5087385'), Decimal('119.104114'))	O+		pkobayashi@hotmail.com	2025		高橋運輸有限会社	森 結衣	rikatakahashi	445-89-8495	2023/09/13	24
	(Decimal('23.3900195'), Decimal('138.234238'))	O-	Health visitor	jgraves@hotmail.com	96	2016-11-15	Patterson, Nunez and Robinson	Juan Mcdonald	gcooper	116-91-5338	17 Oct 2024	413
	(Decimal('-61.3965905'), Decimal('45.397652'))	O+	農家	eaoki@gmail.com	1401		合同会社橋本ガス	伊藤 修平	taichimurakami	497-71-9497	2018-11-02	59
	(Decimal('31.1032165'), Decimal('-21.947978'))	O+		fiorenzomorrocco@tiscali.it	1683		Nitto Group	Fedele Zacchia	francescacuomo	RSSLLL33B04E975Y	07/04/2025, 00:00:00	216
	(Decimal('13.2685975'), Decimal('-60.475601'))	O-		ivargas@uol.com.br	1971	1914-04-24	Freitas Sampaio S/A	Valentim Azevedo	zsantos	62185390406	2024/10/14	730
	(Decimal('42.572436'), Decimal('-169.096759'))	A-		pgarcia@ig.com.br	1284	2019-11-30	Fonseca - EI	Isabella Sales	lalbuquerque	87645201371	2025-01-19	284
	(Decimal('-10.9283695'), Decimal('-59.307065'))	A+		mirco26@hotmail.it	960		Cantimori, Luria e Marinetti e figli	Salvi Necci	napoleone31	MJWPLT24L12F461W	2020/12/22	246
	(Decimal('-19.940414'), Decimal('-87.482516'))	AB-	Físico	pmarques@bol.com.br	1981	1948-02-20	Sampaio S.A.	Dr. Daniel Cunha	gael-henriqueda-cunha	08753194675	01/19/2020, 00:00:00	20
	(Decimal('45.5345115'), Decimal('-55.317750'))	B-		lucas-gabrielda-cruz@bol.com.br	1947		Jesus Vasconcelos S.A.	Sr. Luigi da Cunha	samuel76	27436081535	10/01/2021, 00:00:00	65
	(Decimal('2.8484995'), Decimal('38.730681'))	A+		gregorylindsey@gmail.com	273	1990-04-21	Monroe, Blevins and Ramirez	Kelly Martinez	kristieshah	437-38-4528	2025/09/07	615
	(Decimal('8.119812'), Decimal('79.066149'))	A+		katalin54@gmail.com	1082		Paffrath	Erkan Mentzel MBA.	mona49	932-23-1360	2024-01-07	720
